,ngram,theme,value
0,government,all,3796
13,data,all,2748
26,bank,all,2229
39,court,all,2199
52,right,all,2146
65,state,all,2108
78,card,all,1984
91,privacy,all,1941
104,uidai,all,1874
117,account,all,1773
130,issue,all,1616
143,scheme,all,1608
21,data,data_security,1465
156,act,all,1403
169,link,all,1387
182,service,all,1371
62,right,judiciary_right_to_privacy,1240
195,information,all,1225
208,case,all,1213
221,biometric,all,1198
234,law,all,1164
247,system,all,1129
112,uidai,data_security,1121
260,report,all,1120
49,court,judiciary_right_to_privacy,1054
273,supreme,all,1042
286,benefit,all,1025
299,security,all,975
312,bench,all,931
325,pan,all,930
338,identity,all,914
351,bill,all,906
101,privacy,judiciary_right_to_privacy,892
364,minister,all,884
377,mobile,all,875
390,citizen,all,873
403,tax,all,872
416,authentication,all,832
429,mandatory,all,812
442,digital,all,800
455,identification,all,792
468,money,all,774
481,authority,all,765
494,section,all,740
507,payment,all,736
520,process,all,733
533,individual,all,733
546,base,all,716
8,government,data_security,703
559,modi,all,667
572,company,all,663
585,subsidy,all,654
598,technology,all,651
5,government,e-governance,648
611,transaction,all,641
624,public,all,637
637,centre,all,633
203,information,data_security,632
650,petitioner,all,629
229,biometric,data_security,627
663,database,all,606
7,government,macroeconomic_policy,604
322,bench,judiciary_right_to_privacy,600
676,justice,all,599
174,link,e-governance,563
99,privacy,data_security,562
164,act,data_security,555
330,pan,e-governance,535
73,state,data_security,528
2,government,aadhaar_based_schemes,520
83,card,e-governance,512
307,security,data_security,497
75,state,judiciary_right_to_privacy,479
424,authentication,data_security,479
31,bank,e-governance,476
86,card,data_security,463
138,issue,data_security,457
268,report,data_security,439
23,data,judiciary_right_to_privacy,434
255,system,data_security,433
10,government,judiciary_right_to_privacy,427
671,database,data_security,424
145,scheme,aadhaar_based_schemes,419
283,supreme,judiciary_right_to_privacy,415
122,account,e-governance,411
44,court,e-governance,405
218,case,judiciary_right_to_privacy,402
190,service,data_security,400
686,justice,judiciary_right_to_privacy,400
166,act,judiciary_right_to_privacy,388
34,bank,data_security,379
242,law,data_security,370
660,petitioner,judiciary_right_to_privacy,370
510,payment,digital_stack,365
60,right,data_security,354
244,law,judiciary_right_to_privacy,350
135,issue,e-governance,349
28,bank,aadhaar_based_schemes,348
29,bank,digital_stack,343
445,digital,digital_stack,343
47,court,data_security,335
346,identity,data_security,335
382,mobile,e-governance,335
187,service,e-governance,319
614,transaction,digital_stack,317
140,issue,judiciary_right_to_privacy,313
70,state,e-governance,308
125,account,data_security,307
216,case,data_security,307
9,government,aadhaar_political_debates,305
18,data,e-governance,299
119,account,aadhaar_based_schemes,299
489,authority,data_security,299
148,scheme,e-governance,294
434,mandatory,e-governance,283
525,process,e-governance,276
408,tax,e-governance,275
109,uidai,e-governance,273
502,section,data_security,269
463,identification,data_security,265
541,individual,data_security,258
153,scheme,judiciary_right_to_privacy,257
566,modi,macroeconomic_policy,250
414,tax,money_laundering,245
361,bill,judiciary_right_to_privacy,239
504,section,judiciary_right_to_privacy,233
398,citizen,data_security,232
606,technology,data_security,225
288,benefit,aadhaar_based_schemes,220
88,card,judiciary_right_to_privacy,218
205,information,judiciary_right_to_privacy,218
385,mobile,data_security,216
177,link,data_security,214
67,state,aadhaar_based_schemes,212
278,supreme,e-governance,212
3,government,digital_stack,211
281,supreme,data_security,204
580,company,data_security,204
658,petitioner,data_security,204
161,act,e-governance,203
478,money,judiciary_right_to_privacy,203
72,state,macroeconomic_policy,202
59,right,macroeconomic_policy,199
179,link,judiciary_right_to_privacy,199
296,benefit,judiciary_right_to_privacy,198
294,benefit,data_security,193
439,mandatory,judiciary_right_to_privacy,193
551,base,e-governance,191
151,scheme,data_security,190
601,technology,digital_stack,190
33,bank,macroeconomic_policy,186
185,service,digital_stack,184
213,case,e-governance,184
460,identification,e-governance,181
400,citizen,judiciary_right_to_privacy,180
554,base,data_security,180
16,data,digital_stack,178
98,privacy,macroeconomic_policy,177
359,bill,data_security,176
543,individual,judiciary_right_to_privacy,176
20,data,macroeconomic_policy,175
632,public,data_security,174
291,benefit,e-governance,172
81,card,digital_stack,167
366,minister,aadhaar_based_schemes,167
114,uidai,judiciary_right_to_privacy,165
265,report,e-governance,165
320,bench,data_security,161
239,law,e-governance,160
486,authority,e-governance,160
647,centre,judiciary_right_to_privacy,160
343,identity,e-governance,159
250,system,digital_stack,158
79,card,aadhaar_based_subsidies,155
36,bank,judiciary_right_to_privacy,153
252,system,e-governance,153
127,account,judiciary_right_to_privacy,152
192,service,judiciary_right_to_privacy,151
348,identity,judiciary_right_to_privacy,149
395,citizen,e-governance,149
226,biometric,e-governance,148
231,biometric,judiciary_right_to_privacy,147
373,minister,aadhaar_political_debates,147
587,subsidy,aadhaar_based_schemes,143
360,bill,aadhaar_political_debates,142
437,mandatory,data_security,142
528,process,data_security,142
57,right,e-governance,141
80,card,aadhaar_based_schemes,141
356,bill,e-governance,141
1,government,aadhaar_based_subsidies,140
96,privacy,e-governance,140
369,minister,e-governance,139
444,digital,aadhaar_based_schemes,139
336,pan,money_laundering,135
124,account,macroeconomic_policy,134
450,digital,data_security,133
590,subsidy,e-governance,133
499,section,e-governance,130
200,information,e-governance,129
120,account,digital_stack,128
74,state,aadhaar_political_debates,126
592,subsidy,macroeconomic_policy,126
128,account,money_laundering,124
568,modi,aadhaar_political_debates,124
46,court,macroeconomic_policy,123
132,issue,aadhaar_based_schemes,122
184,service,aadhaar_based_schemes,121
642,centre,e-governance,119
465,identification,judiciary_right_to_privacy,116
575,company,digital_stack,116
421,authentication,e-governance,115
512,payment,e-governance,115
561,modi,aadhaar_based_schemes,115
262,report,aadhaar_based_schemes,114
619,transaction,data_security,113
631,public,macroeconomic_policy,113
150,scheme,macroeconomic_policy,112
257,system,judiciary_right_to_privacy,112
335,pan,judiciary_right_to_privacy,112
645,centre,data_security,112
577,company,e-governance,111
309,security,judiciary_right_to_privacy,110
397,citizen,macroeconomic_policy,110
476,money,data_security,110
538,individual,e-governance,109
634,public,judiciary_right_to_privacy,109
37,bank,money_laundering,108
317,bench,e-governance,108
85,card,macroeconomic_policy,106
372,minister,data_security,106
171,link,aadhaar_based_schemes,105
426,authentication,judiciary_right_to_privacy,105
137,issue,macroeconomic_policy,104
241,law,macroeconomic_policy,103
304,security,e-governance,103
144,scheme,aadhaar_based_subsidies,101
224,biometric,digital_stack,100
367,minister,digital_stack,99
387,mobile,judiciary_right_to_privacy,99
410,tax,macroeconomic_policy,98
549,base,digital_stack,98
15,data,aadhaar_based_schemes,97
380,mobile,digital_stack,97
270,report,judiciary_right_to_privacy,96
371,minister,macroeconomic_policy,96
475,money,macroeconomic_policy,96
267,report,macroeconomic_policy,95
413,tax,judiciary_right_to_privacy,95
333,pan,data_security,94
509,payment,aadhaar_based_schemes,94
11,government,money_laundering,93
32,bank,financial_inclusion,93
249,system,aadhaar_based_schemes,93
593,subsidy,data_security,90
189,service,macroeconomic_policy,89
491,authority,judiciary_right_to_privacy,89
302,security,digital_stack,88
562,modi,digital_stack,87
358,bill,macroeconomic_policy,86
146,scheme,digital_stack,85
293,benefit,macroeconomic_policy,85
479,money,money_laundering,85
152,scheme,aadhaar_political_debates,84
556,base,judiciary_right_to_privacy,84
582,company,judiciary_right_to_privacy,84
106,uidai,aadhaar_based_schemes,83
66,state,aadhaar_based_subsidies,82
123,account,financial_inclusion,81
457,identification,aadhaar_based_schemes,81
69,state,enrolment_process,80
254,system,macroeconomic_policy,80
107,uidai,digital_stack,78
215,case,macroeconomic_policy,76
243,law,aadhaar_political_debates,76
629,public,e-governance,76
639,centre,aadhaar_based_schemes,75
4,government,enrolment_process,74
48,court,aadhaar_political_debates,74
198,information,digital_stack,73
515,payment,data_security,73
447,digital,e-governance,70
527,process,macroeconomic_policy,69
94,privacy,digital_stack,68
165,act,aadhaar_political_debates,67
471,money,digital_stack,67
82,card,enrolment_process,66
139,issue,aadhaar_political_debates,66
263,report,digital_stack,66
477,money,aadhaar_political_debates,66
483,authority,aadhaar_based_schemes,65
170,link,aadhaar_based_subsidies,64
392,citizen,aadhaar_based_schemes,64
684,justice,data_security,64
54,right,aadhaar_based_schemes,63
163,act,macroeconomic_policy,63
280,supreme,macroeconomic_policy,63
595,subsidy,judiciary_right_to_privacy,63
178,link,aadhaar_political_debates,62
172,link,digital_stack,61
411,tax,data_security,61
41,court,aadhaar_based_schemes,60
608,technology,judiciary_right_to_privacy,60
306,security,macroeconomic_policy,59
340,identity,aadhaar_based_schemes,59
419,authentication,digital_stack,59
470,money,aadhaar_based_schemes,59
583,company,money_laundering,59
55,right,digital_stack,58
202,information,macroeconomic_policy,58
87,card,aadhaar_political_debates,57
118,account,aadhaar_based_subsidies,57
27,bank,aadhaar_based_subsidies,56
341,identity,digital_stack,56
646,centre,aadhaar_political_debates,56
668,database,e-governance,56
681,justice,e-governance,56
530,process,judiciary_right_to_privacy,55
622,transaction,money_laundering,55
61,right,aadhaar_political_debates,54
379,mobile,aadhaar_based_schemes,54
431,mandatory,aadhaar_based_schemes,54
473,money,e-governance,54
93,privacy,aadhaar_based_schemes,53
133,issue,digital_stack,53
261,report,aadhaar_based_subsidies,53
210,case,aadhaar_based_schemes,52
12,government,crime,51
108,uidai,enrolment_process,51
345,identity,macroeconomic_policy,51
523,process,digital_stack,51
548,base,aadhaar_based_schemes,51
616,transaction,e-governance,51
134,issue,enrolment_process,50
522,process,aadhaar_based_schemes,50
544,individual,money_laundering,50
553,base,macroeconomic_policy,50
301,security,aadhaar_based_schemes,49
452,digital,judiciary_right_to_privacy,49
89,card,money_laundering,48
600,technology,aadhaar_based_schemes,48
289,benefit,digital_stack,47
353,bill,aadhaar_based_schemes,47
68,state,digital_stack,46
158,act,aadhaar_based_schemes,46
365,minister,aadhaar_based_subsidies,46
458,identification,digital_stack,46
126,account,aadhaar_political_debates,45
191,service,aadhaar_political_debates,45
