,ngram,count,aadhaar_based_subsidies,aadhaar_based_schemes,digital_stack,enrolment_process,e-governance,financial_inclusion,macroeconomic_policy,data_security,aadhaar_political_debates,judiciary_right_to_privacy,money_laundering,crime
0,government,3796,140,520,211,74,648,20,604,703,305,427,93,51
1,data,2748,11,97,178,22,299,8,175,1465,19,434,11,29
2,bank,2229,56,348,343,32,476,93,186,379,44,153,108,11
3,court,2199,34,60,36,8,405,5,123,335,74,1054,21,44
4,right,2146,19,63,58,6,141,1,199,354,54,1240,8,3
5,state,2108,82,212,46,80,308,12,202,528,126,479,8,25
6,card,1984,155,141,167,66,512,15,106,463,57,218,48,36
7,privacy,1941,1,53,68,0,140,1,177,562,36,892,7,4
8,uidai,1874,7,83,78,51,273,1,27,1121,27,165,4,37
9,account,1773,57,299,128,27,411,81,134,307,45,152,124,8
10,issue,1616,44,122,53,50,349,10,104,457,66,313,28,20
11,scheme,1608,101,419,85,21,294,9,112,190,84,257,35,1
12,act,1403,18,46,10,8,203,2,63,555,67,388,29,14
13,link,1387,64,105,61,21,563,12,38,214,62,199,39,9
14,service,1371,15,121,184,22,319,10,89,400,45,151,11,4
15,information,1225,8,42,73,8,129,2,58,632,11,218,26,18
16,case,1213,38,52,26,19,184,6,76,307,22,402,36,45
17,biometric,1198,27,45,100,18,148,0,41,627,13,147,14,18
18,law,1164,7,39,32,8,160,1,103,370,76,350,15,3
19,system,1129,44,93,158,6,153,1,80,433,20,112,28,1
20,report,1120,53,114,66,5,165,3,95,439,35,96,32,17
21,supreme,1042,19,33,21,6,212,3,63,204,39,415,10,17
22,benefit,1025,34,220,47,19,172,4,85,193,44,198,8,1
23,security,975,22,49,88,0,103,2,59,497,26,110,9,10
24,bench,931,10,5,10,0,108,1,18,161,15,600,3,0
25,pan,930,2,10,8,1,535,3,7,94,17,112,135,6
26,identity,914,14,59,56,16,159,3,51,335,26,149,27,19
27,bill,906,0,47,31,0,141,1,86,176,142,239,31,12
28,minister,884,46,167,99,13,139,4,96,106,147,39,24,4
29,mobile,875,2,54,97,5,335,1,37,216,20,99,5,4
30,citizen,873,9,64,43,37,149,3,110,232,36,180,6,4
31,tax,872,1,27,24,0,275,7,98,61,37,95,245,2
32,authentication,832,22,30,59,4,115,2,8,479,7,105,0,1
33,mandatory,812,22,54,11,23,283,4,25,142,23,193,32,0
34,digital,800,2,139,343,2,70,12,37,133,5,49,8,0
35,identification,792,10,81,46,19,181,1,29,265,19,116,15,10
36,money,774,11,59,67,5,54,13,96,110,66,203,85,5
37,authority,765,12,65,34,22,160,1,25,299,24,89,18,16
38,section,740,2,15,3,0,130,0,36,269,13,233,15,24
39,payment,736,5,94,365,4,115,13,37,73,3,9,18,0
40,process,733,8,50,51,29,276,18,69,142,21,55,5,9
41,individual,733,9,37,22,6,109,8,43,258,13,176,50,2
42,base,716,11,51,98,6,191,14,50,180,9,84,14,8
43,modi,667,13,115,87,0,18,3,250,28,124,14,11,4
44,company,663,4,30,116,0,111,2,31,204,19,84,59,3
45,subsidy,654,45,143,30,2,133,2,126,90,15,63,3,2
46,technology,651,3,48,190,1,45,10,40,225,17,60,9,3
47,transaction,641,3,34,317,0,51,12,17,113,11,27,55,1
48,public,637,26,42,39,2,76,7,113,174,44,109,3,2
49,centre,633,15,75,18,36,119,1,27,112,56,160,10,4
50,petitioner,629,3,6,0,0,40,0,5,204,1,370,0,0
51,database,606,6,16,22,4,56,1,27,424,3,35,4,8
52,justice,599,4,9,9,1,56,1,29,64,18,400,3,5
